pax_counter_id,equipmentname,station_id,tplnr,tpname,station_name,station_ril100,management_name,region_name,federal_state_name,station_longitude,station_latitude,produktlinie,untersegment
d48afc8ec50f,DSA+_Typ2_GL1_WPSW1,4970,04970-01-B01,Bahnsteig 01,Plüschow,WPSW,Mecklenburg-Vorpommern,Ost,Mecklenburg-Vorpommern,11.285845,53.837064,Zubringerbahnhof,ländlicher Zubringer
244cab01fe3f,DSA+_Typ2_GL2_WPI2,5034,05034-01-B04,Bahnsteig 02,Priemerburg,WPI,Mecklenburg-Vorpommern,Ost,Mecklenburg-Vorpommern,12.223022,53.795979,Zubringerbahnhof,ländlicher Zubringer
244cab068dcb,DSA+_Typ2_GL1_WPI1,5034,05034-01-B01,Bahnsteig 01,Priemerburg,WPI,Mecklenburg-Vorpommern,Ost,Mecklenburg-Vorpommern,12.223022,53.795979,Zubringerbahnhof,ländlicher Zubringer
e831cdc25847,DSA+_Typ3_GL1/2_WPRA12,5048,05048-01-B01,Bahnsteig 01/02,Prora,WPRA,Mecklenburg-Vorpommern,Ost,Mecklenburg-Vorpommern,13.564057,54.444986,Zubringerbahnhof,ländlicher Zubringer
244cab01a103,DSA+_Typ2_GL1_WPRO1,5049,05049-01-B01,Bahnsteig 01,Prora Ost,WPRO,Mecklenburg-Vorpommern,Ost,Mecklenburg-Vorpommern,13.574515,54.43006,Zubringerbahnhof,ländlicher Zubringer
244cab02bddb,DSA+_Typ2_GL1/2_WPOE12,4982,04982-01-B02,Bahnsteig 02,Pölchow,WPOE,Mecklenburg-Vorpommern,Ost,Mecklenburg-Vorpommern,12.121127,54.011031,Zubringerbahnhof,ländlicher Zubringer
244cab06abe7,DSA+_Typ2_GL2_WRMB2,5108,05108-01-B02,Bahnsteig 02,Rambin (Rügen),WRMB,Mecklenburg-Vorpommern,Ost,Mecklenburg-Vorpommern,13.207813,54.353429,Zubringerbahnhof,ländlicher Zubringer
244cab05572b,DSA+_Typ2_GL1_WRMB1,5108,05108-01-B01,Bahnsteig 01,Rambin (Rügen),WRMB,Mecklenburg-Vorpommern,Ost,Mecklenburg-Vorpommern,13.207813,54.353429,Zubringerbahnhof,ländlicher Zubringer
a0a3b32f9e87,DSA+_Typ2_GL2_WRW2,5127,05127-01-B02,Bahnsteig 02,Rastow,WRW,Mecklenburg-Vorpommern,Ost,Mecklenburg-Vorpommern,11.430859,53.458156,Zubringerbahnhof,ländlicher Zubringer
a0a3b38c53a3,DSA+_Typ2_GL1_WRW1,5127,05127-01-B01,Bahnsteig 01,Rastow,WRW,Mecklenburg-Vorpommern,Ost,Mecklenburg-Vorpommern,11.430859,53.458156,Zubringerbahnhof,ländlicher Zubringer
244cab071093,DSA+_Typ2_GL1_WRA1,5180,05180-01-B01,Bahnsteig 01,Rehna,WRA,Mecklenburg-Vorpommern,Ost,Mecklenburg-Vorpommern,11.049747,53.774263,Zubringerbahnhof,ländlicher Zubringer
244cab044207,DSA+_Typ2_GL2_WRIO2,5264,05264-01-B02,Bahnsteig 02,Ribnitz-Damgarten Ost,WRIO,Mecklenburg-Vorpommern,Ost,Mecklenburg-Vorpommern,12.487015,54.251016,Zubringerbahnhof,ländlicher Zubringer
a0a3b38c5473,DSA+_Typ2_GL1_WRIO1,5264,05264-01-B01,Bahnsteig 01,Ribnitz-Damgarten Ost,WRIO,Mecklenburg-Vorpommern,Ost,Mecklenburg-Vorpommern,12.487015,54.251016,Zubringerbahnhof,ländlicher Zubringer
244cab022a6b,DSA+_Typ2_GL1_WRGT1,5315,05315-01-B01,Bahnsteig 01,Roggentin,WRGT,Mecklenburg-Vorpommern,Ost,Mecklenburg-Vorpommern,12.213086,54.073494,Zubringerbahnhof,ländlicher Zubringer
c45bbe93286f,DSA+_Typ3_GL1/2_WRK12,5368,05368-01-B01,Bahnsteig 01/02,Rostock Kassebohm,WRK,Mecklenburg-Vorpommern,Ost,Mecklenburg-Vorpommern,12.163316,54.079425,Zubringerbahnhof,Regionaler Zubringer
244cab02ea4f,DSA+_Typ2_GL1_WGMS1,4813,04813-01-B01,Bahnsteig 01,Rostock Torfbrücke,WGMS,Mecklenburg-Vorpommern,Ost,Mecklenburg-Vorpommern,12.227735,54.241758,Zubringerbahnhof,Regionaler Zubringer
244cab03a43f,DSA+_Typ2_GL1_WRVE1,8375,08375-01-B01,Bahnsteig 01,Rövershagen Karls Erlebnisdorf (Purkshof),WRVE,Mecklenburg-Vorpommern,Ost,Mecklenburg-Vorpommern,12.2383,54.16,Zubringerbahnhof,ländlicher Zubringer
244cab060337,DSA+_Typ2_GL1_WSAG12,5469,05469-01-B01,Bahnsteig 01,Sagard,WSAG,Mecklenburg-Vorpommern,Ost,Mecklenburg-Vorpommern,13.564956,54.524379,Zubringerbahnhof,ländlicher Zubringer
244cab06b913,DSA+_Typ2_GL2/3_WSAM23,5490,05490-01-B02,Bahnsteig 02,Samtens,WSAM,Mecklenburg-Vorpommern,Ost,Mecklenburg-Vorpommern,13.290177,54.354116,Zubringerbahnhof,ländlicher Zubringer
244cab067ac7,DSA+_Typ2_GL1_WSAM1,5490,05490-01-B01,Bahnsteig 01,Samtens,WSAM,Mecklenburg-Vorpommern,Ost,Mecklenburg-Vorpommern,13.290177,54.354116,Zubringerbahnhof,ländlicher Zubringer
244cab01f2b7,DSA+_Typ2_GL1_WSAN1,5501,05501-01-B01,Bahnsteig 01,Sandhagen (b Bad Doberan),WSAN,Mecklenburg-Vorpommern,Ost,Mecklenburg-Vorpommern,11.740909,54.052785,Zubringerbahnhof,ländlicher Zubringer
244cab0228ef,DSA+_Typ2_GL1_WSTZ1,5506,05506-01-B01,Bahnsteig 01,Sanitz (b Rostock),WSTZ,Mecklenburg-Vorpommern,Ost,Mecklenburg-Vorpommern,12.376588,54.07506,Zubringerbahnhof,Regionaler Zubringer
244cab0237a7,DSA+_Typ2_GL2_WSTZ2,5506,05506-01-B02,Bahnsteig 02,Sanitz (b Rostock),WSTZ,Mecklenburg-Vorpommern,Ost,Mecklenburg-Vorpommern,12.376588,54.07506,Zubringerbahnhof,Regionaler Zubringer
e831cdc2597b,DSA+_Typ2_GL1_WST1,5547,05547-01-B01,Bahnsteig 01,Scharstorf,WST,Mecklenburg-Vorpommern,Ost,Mecklenburg-Vorpommern,12.245847,53.970079,Zubringerbahnhof,ländlicher Zubringer
